indexA,indexB,label,sim,dist,preds
25280,10540,0,0.960581362247467,5.793905258178711,1
18931,16418,1,0.9970895648002625,2.118713140487671,1
26017,27118,1,0.9840086698532104,6.803956508636475,1
20307,23235,1,0.9463004469871521,5.618041515350342,0
4332,13193,0,0.9021012783050537,9.567781448364258,0
18024,7222,0,0.9746898412704468,10.960175514221191,0
20921,22214,1,0.975441575050354,4.2642717361450195,1
25507,5637,0,0.9722251296043396,7.890961170196533,0
18425,15565,1,0.9861249923706055,4.4746317863464355,1
24814,19667,0,0.9269132614135742,10.567427635192871,0
25867,28221,1,0.975947380065918,6.673138618469238,1
19996,3711,0,0.9920654296875,5.188037395477295,1
4866,26259,0,0.9235630035400391,10.422304153442383,0
12626,12486,1,0.9677985310554504,6.066704750061035,1
20063,13565,0,0.9042864441871643,7.43445348739624,0
6052,755,0,0.9735934138298035,15.57836627960205,0
24701,27972,0,0.9799467325210571,12.800332069396973,0
16169,17889,1,0.9888612031936646,9.456796646118164,0
5970,12808,0,0.8922916054725647,18.611560821533203,0
2051,1736,1,0.8862840533256531,14.961390495300293,0
3560,1457,1,0.9989139437675476,2.3667562007904053,1
18517,12518,0,0.8241115808486938,11.87417221069336,0
16161,11348,0,0.8397729992866516,22.295989990234375,0
2269,2996,1,0.9842663407325745,4.812049865722656,1
21142,22669,1,0.9481197595596313,3.900578737258911,0
23707,24488,1,0.9355586171150208,4.605349063873291,0
20469,22885,1,0.9565070271492004,5.162238121032715,1
24922,22538,1,0.9600495100021362,4.693349838256836,1
14867,12335,1,0.9244256019592285,7.632699489593506,0
13880,25946,0,0.9706029295921326,8.25002384185791,0
23619,23527,1,0.9457072615623474,4.682628631591797,0
23798,8050,0,0.926089882850647,26.376710891723633,0
1512,8328,0,0.9896588921546936,20.443679809570312,0
22663,21756,1,0.9663510322570801,3.5749330520629883,1
21510,23329,1,0.9727405905723572,3.9907689094543457,1
6283,9798,1,0.9617274403572083,10.531593322753906,0
23945,10555,0,0.9777888059616089,9.241292953491211,0
19752,19824,1,0.9951391220092773,12.476299285888672,0
28,573,1,0.9931285381317139,3.341475248336792,1
14873,15182,0,0.8288730978965759,11.655702590942383,0
1699,3403,1,0.9018851518630981,6.437224864959717,0
25099,12907,0,0.9598830938339233,6.946084499359131,1
22103,6216,0,0.9710618853569031,22.19849395751953,0
4633,3112,1,0.9575991034507751,7.091079235076904,0
1583,2445,1,0.998403012752533,1.114935278892517,1
24220,24946,1,0.8706471920013428,7.735322952270508,0
18839,10513,0,0.8284199833869934,13.71249771118164,0
19438,12524,0,0.7957171201705933,11.294365882873535,0
13631,12961,1,0.9597280621528625,6.577012538909912,1
13009,19879,0,0.7786546945571899,18.333240509033203,0
20874,13535,0,0.9487521052360535,11.6519136428833,0
28465,9837,0,0.9886534214019775,5.2494282722473145,1
