testing_image,time_taken,indices_list,output_indices
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/TEJ1Y.jpg,0.10692405700683594,,"[25578, 25754, 29111, 29065, 26147, 29888, 25211, 27067, 25274, 8312, 27729, 28797, 28259, 26925, 28162, 25975, 27027, 26007, 28579, 28955, 26255, 4414, 25214, 25804, 1229, 5929, 28674, 28028, 26318, 28099, 27820, 25221, 28073, 3102, 27760, 27969, 26365, 26502, 27408, 28578, 27906, 27412, 28953, 26667, 29837, 26246, 3041, 27716, 174, 26947]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/13P1E.jpg,0.06827592849731445,,"[13641, 13191, 10152, 10489, 11181, 11653, 11910, 13215, 12790, 14721, 13701, 12467, 14671, 14624, 14682, 12208, 11441, 14907, 12158, 11051, 12396, 13693, 13017, 14400, 10619, 13636, 11249, 13900, 10291, 10888, 14308, 13407, 12378, 13435, 11502, 14782, 14730, 13629, 14369, 11430, 13162, 14762, 10974, 12178, 12159, 14035, 13982, 12002, 14468, 12145]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/RRGXD.jpg,0.06790995597839355,,"[17741, 2403, 4762, 149, 4965, 1685, 842, 1399, 1939, 2881, 38, 1310, 19010, 2580, 16321, 19744, 4407, 3529, 4391, 1272, 465, 18256, 193, 1020, 18521, 721, 19168, 1859, 4727, 4477, 3185, 4116, 2973, 2110, 3639, 4874, 485, 1254, 4754, 774, 3590, 4685, 3040, 3830, 16755, 2768, 19012, 15098, 2622, 18097]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/PEVYX.jpg,0.06862092018127441,,"[9801, 9209, 6398, 6674, 9056, 7528, 7636, 8138, 6240, 8525, 7754, 6243, 9485, 9167, 5232, 6543, 28534, 6383, 6600, 6217, 7275, 7646, 7768, 7895, 6005, 6845, 5156, 5724, 9946, 9760, 6241, 29882, 7842, 9336, 7966, 6911, 7806, 7917, 8415, 6184, 8623, 7940, 5032, 5094, 5056, 6045, 7743, 6250, 9186, 9501]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/66ZT7.jpg,0.06764984130859375,,"[25855, 27277, 5806, 8640, 6559, 25850, 8451, 9011, 6332, 9263, 25477, 28036, 5467, 26261, 29635, 6810, 27144, 26751, 8144, 28922, 5525, 27905, 29799, 28769, 27546, 27777, 27237, 8687, 25208, 6035, 29581, 26373, 26211, 26695, 27094, 27334, 29123, 28486, 27382, 8716, 6629, 26145, 9300, 25145, 6008, 9753, 25937, 9133, 6151, 5520]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/6CLSI.jpg,0.06638312339782715,,"[10111, 13833, 10908, 12445, 11905, 10989, 14531, 10173, 13073, 13310, 13029, 14874, 11836, 11259, 10021, 11661, 11305, 10793, 10070, 12856, 13035, 10535, 13868, 11220, 11120, 13358, 10260, 10771, 10106, 10747, 13595, 13088, 12496, 10614, 14979, 12170, 11840, 13140, 11289, 12748, 14134, 14841, 11768, 14754, 14633, 14704, 11923, 13578, 11668, 10388]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/NHUYS.jpg,0.06687092781066895,,"[18257, 16362, 2669, 19663, 19255, 19441, 2186, 1725, 3710, 18142, 17132, 16120, 4797, 16839, 19537, 17843, 16478, 19206, 4587, 18980, 19869, 16672, 4677, 787, 3772, 18025, 18899, 19884, 19197, 17560, 16161, 19958, 270, 15466, 17088, 1966, 15109, 18505, 2143, 264, 15369, 2755, 1209, 2716, 16570, 16808, 4695, 17429, 18459, 18707]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/4U82N.jpg,0.06662797927856445,,"[7304, 7698, 6596, 27443, 25027, 6961, 27009, 8005, 29234, 25796, 26433, 27057, 8231, 27820, 5272, 28134, 6112, 25622, 25979, 8488, 28630, 27787, 26761, 8525, 8408, 27228, 8260, 26533, 26459, 6330, 25720, 7043, 9954, 8055, 27686, 25378, 27757, 29452, 6253, 9435, 7868, 5388, 27500, 27900, 29659, 9966, 29872, 29165, 26673, 9968]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/NGW1J.jpg,0.06587505340576172,,"[22049, 20861, 22563, 23338, 21510, 22258, 21595, 20858, 8277, 21763, 21852, 23730, 26348, 20078, 9900, 20037, 30, 21501, 995, 21492, 8473, 9682, 25683, 5830, 22977, 24808, 24042, 24671, 21057, 28731, 3767, 23556, 20940, 21542, 8639, 2867, 2557, 22339, 20056, 23037, 9399, 20749, 24157, 20492, 26029, 8707, 6546, 23323, 21044, 21353]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/BNXPM.jpg,0.05310177803039551,,"[9801, 8138, 8434, 5903, 5010, 9498, 9189, 5897, 9961, 7743, 6183, 5032, 7816, 9434, 9946, 6803, 8495, 7103, 8365, 26808, 5369, 8508, 7800, 6383, 9016, 9949, 7917, 7517, 7142, 29265, 6096, 7137, 6845, 9926, 9209, 5777, 6832, 9752, 9056, 7877, 5991, 6631, 25814, 29984, 5686, 5361, 28555, 6250, 7960, 5323]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/CZIVC.jpg,0.05204296112060547,,"[27623, 17460, 28655, 309, 28999, 24197, 26144, 29609, 26582, 8074, 23174, 29586, 21587, 3255, 25995, 8010, 9794, 6061, 28484, 672, 3360, 26153, 2576, 26303, 21816, 3350, 6943, 29657, 28586, 6288, 27139, 20386, 27999, 204, 27088, 27464, 29417, 20260, 25082, 973, 22169, 27982, 4983, 9610, 8941, 5799, 3850, 22181, 27995, 3848]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/UVK6S.jpg,0.05328726768493652,,"[17330, 17678, 16524, 18409, 15764, 19323, 19453, 17780, 19342, 19522, 17045, 16795, 17673, 17345, 16487, 15164, 16128, 15996, 16027, 16031, 19871, 18169, 16104, 15184, 17774, 15608, 19971, 17661, 19538, 15072, 17621, 16481, 19627, 19762, 17034, 18286, 19758, 17624, 19498, 19451, 17390, 18738, 18723, 18458, 19799, 16531, 16988, 15029, 15021, 19817]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/AQWU7.jpg,0.05230379104614258,,"[5014, 9915, 6016, 14313, 6499, 5698, 14839, 10792, 10689, 10845, 9077, 8586, 27923, 5801, 7147, 13416, 10746, 10555, 9637, 10963, 5611, 11292, 10605, 4749, 6736, 804, 29166, 12163, 12958, 10132, 13692, 13512, 28328, 13445, 11282, 11457, 14779, 14518, 12679, 11333, 13501, 14273, 10178, 13165, 5682, 8162, 12157, 9612, 12027, 8903]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/B39AI.jpg,0.05211591720581055,,"[22633, 3549, 24285, 1712, 4708, 560, 24725, 3041, 992, 1496, 2867, 29872, 1781, 20860, 1400, 3450, 4648, 2821, 4200, 21808, 1823, 3759, 3476, 718, 27057, 2337, 4511, 3102, 2876, 2684, 4210, 4414, 4058, 21425, 1644, 2607, 4723, 27500, 29452, 1016, 24283, 3237, 1958, 1436, 3182, 227, 4137, 4030, 1352, 2556]"
