testing_image,time_taken,indices_list
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/3VE0J.jpg,0.19839906692504883,"[18606, 17089, 17110, 17106, 17105, 17104, 17102, 17101, 17100, 17099, 17097, 17111, 17096, 17094, 17091, 17090, 17140, 17051, 17053, 17048, 17050, 17046, 17054, 17095, 17112, 17113, 17114, 17088, 17137, 17136, 17135, 17134, 17133, 17132, 17131, 17130, 17129, 17128, 17127, 17125, 17124, 17123, 17122, 17121, 17120, 17118, 17117, 17115, 17043, 17055]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/D61Z2.jpg,0.10880184173583984,"[10936, 14485, 13233, 14964, 14882, 14186, 12124, 11388, 11243, 12996, 13760, 10706, 11750, 11040, 13587, 12841, 10976, 14774, 10115, 13737, 11309, 12328, 14772, 11369, 13956, 12221, 11010, 11384, 12206, 12652, 13781, 13703, 13783, 10384, 11991, 10445, 12739, 13820, 12287, 10730, 14423, 12781, 10528, 12379, 10594, 10973, 11307, 10621, 13623, 14579]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/KS0WR.jpg,0.10868501663208008,"[10591, 11625, 11906, 14037, 12125, 10404, 10115, 10976, 13760, 13081, 14733, 12379, 11077, 10472, 12408, 11881, 11359, 11246, 13068, 13699, 14772, 13211, 13194, 14609, 10110, 12996, 13027, 12865, 11526, 12974, 12900, 13222, 11630, 10156, 13343, 11368, 11708, 11354, 13258, 11344, 11307, 13316, 10384, 11590, 12757, 11243, 11423, 14611, 10002, 14651]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/AW80U.jpg,0.13381385803222656,"[19413, 19635, 2034, 19298, 17694, 17699, 17705, 994, 4461, 17719, 18870, 17285, 17724, 15875, 161, 16944, 15433, 18828, 3910, 3911, 1293, 2539, 17181, 17833, 15397, 2611, 19412, 2784, 19574, 17018, 1876, 18719, 328, 18724, 1892, 15338, 18812, 16094, 17122, 882, 16054, 21941, 19472, 18766, 19450, 17854, 251, 17170, 16093, 4507]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/YXZBN.jpg,0.13587522506713867,"[16862, 19575, 26476, 2784, 19413, 16054, 21606, 3150, 1846, 996, 1834, 630, 16842, 3279, 15917, 3158, 19683, 994, 16849, 25838, 15505, 2401, 19693, 19574, 27733, 1671, 3693, 19705, 18070, 21941, 353, 18072, 28544, 17353, 27745, 29379, 27718, 1876, 17643, 18620, 4866, 1525, 16439, 3709, 22864, 29383, 4860, 25864, 18075, 24228]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/KCD26.jpg,0.13394689559936523,"[17233, 17228, 17229, 17230, 7205, 7206, 7208, 7209, 7210, 22040, 12402, 7213, 17232, 7172, 12399, 7247, 22000, 7249, 21996, 7251, 7243, 7253, 7201, 17226, 22060, 7197, 7217, 17219, 22074, 7176, 7177, 7179, 7180, 17221, 7183, 17223, 7242, 7185, 7187, 7188, 7189, 7190, 7191, 7192, 17224, 17225, 7195, 7196, 7186, 7250]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/M4DO2.jpg,0.13540887832641602,"[9346, 25793, 10094, 28259, 29065, 13913, 23338, 6112, 6690, 25754, 7480, 5830, 11313, 14488, 3401, 5723, 11482, 8615, 14516, 5580, 10469, 25535, 6079, 8784, 10949, 14781, 26543, 7972, 7943, 16978, 26579, 8004, 7966, 26528, 15309, 7960, 7956, 7954, 26519, 8007, 7953, 7952, 26517, 7950, 26511, 7948, 26509, 7947, 7961, 19291]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/R6464.jpg,0.11384129524230957,"[7709, 29065, 26070, 14549, 27366, 13200, 9165, 29467, 26000, 29471, 12040, 29824, 11725, 5486, 28679, 29045, 5429, 6050, 10949, 6966, 25339, 26815, 27935, 27426, 14488, 28259, 6258, 7331, 10171, 10913, 12563, 26255, 29751, 14419, 27487, 6580, 14524, 12098, 9471, 7735, 8151, 10927, 25535, 29073, 10469, 26770, 14466, 13953, 9474, 14330]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/GMQJM.jpg,0.10615396499633789,"[12174, 10682, 8676, 14331, 11081, 11376, 11530, 11146, 29771, 13810, 14206, 13148, 12088, 13783, 14885, 14883, 12075, 13186, 11526, 14877, 28575, 14115, 12921, 8552, 13613, 11625, 11091, 11384, 25084, 12561, 24614, 14398, 11388, 12548, 11040, 12813, 12024, 14393, 13080, 13586, 10514, 10513, 10004, 11966, 6584, 12199, 10813, 11986, 29583, 11583]"
/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/ND1KR.jpg,0.10211801528930664,"[17089, 17110, 17106, 17105, 17104, 17102, 17101, 17100, 17099, 17097, 17096, 17095, 17094, 17091, 17090, 17141, 17051, 17053, 17048, 17050, 17046, 17054, 17111, 17112, 17113, 17114, 17088, 17139, 17137, 17136, 17135, 17134, 17133, 17132, 17131, 17130, 17043, 17129, 17127, 17125, 17124, 17123, 17122, 17121, 17120, 17118, 17117, 17115, 17128, 17055]"
