,testing_image,output_indices,search_time
0,../geological_similarity/schist/TEJ1Y.jpg,"[6949 5568 7325 6459 7282 5119 5142 5468 6619 5745 6787 8209 9951 6616
 7804 7877 5534 8674 9608 5174 8569 9199 9269 9186 5361 5844 8413 6945
 9387 9321 7824 6387 6096 9595 6868 5390 9369 9613 6012 5139 7363 5802
 9575 5991 7371 7302 6430 5483 7880 9946]",0.03899550437927246
1,../geological_similarity/marble/13P1E.jpg,"[6868 5468 6949 5119 6459 6787 5745 5568 7325 7214 5142 6619 7282 8209
 5483 6616 9048 7877 9608 9186 9951 7804 8674 5534 5361 5300 5257 8413
 9199 6945 5174 9595 9269 9387 6726 5844 9369 8236 6012 8569 9746 7511
 9946 5802 9575 7824 5390 9321 7302 5139]",0.0410006046295166
2,../geological_similarity/andesite/RRGXD.jpg,"[6949 7325 5568 5468 7282 6459 5119 5142 6619 5745 6787 8209 9951 7877
 7804 6616 5534 8674 8569 5174 9199 9608 9269 5844 5361 9186 8413 7824
 6096 9321 9387 6945 6387 9613 5390 7302 9595 9369 5802 6012 5991 9575
 5139 9946 6803 7371 7363 7103 6272 6868]",0.039517879486083984
3,../geological_similarity/schist/PEVYX.jpg,"[6949 5568 5468 7325 6459 7282 5119 5142 6619 5745 6787 8209 7877 9951
 6616 7804 5534 8674 8569 5174 9199 9608 9269 5844 5361 9186 8413 7824
 6096 9321 9387 6945 9595 6012 6387 9613 7302 5390 9369 5991 5802 5139
 9575 9946 6803 7363 6868 7103 7371 6272]",0.036000728607177734
4,../geological_similarity/schist/66ZT7.jpg,"[5468 6949 7325 5568 6459 7282 5119 8209 5142 6619 6787 5745 7877 9951
 6616 7804 8674 5534 5844 8569 8722 9608 9269 5361 5174 9199 9186 8413
 7824 6096 9387 9321 7302 6726 7103 6803 6945 7511 9595 5802 9946 5390
 9613 5991 9575 5257 9369 6012 6689 6868]",0.03500080108642578
5,../geological_similarity/marble/6CLSI.jpg,"[6868 5468 6949 6787 6459 5119 8209 5568 7325 7282 5142 5745 6619 7877
 6616 7214 9951 9608 7804 8674 5534 5483 5361 5174 9186 8569 5844 9269
 8413 9048 6726 9387 9199 9321 7824 6012 8722 6096 9946 6183 7511 5257
 9595 8236 9613 6945 6803 7103 5139 7302]",0.0409998893737793
6,../geological_similarity/quartzite/NHUYS.jpg,"[6949 5568 7325 5468 6459 7282 5119 5142 6619 5745 6787 8209 9951 7877
 6616 7804 5534 8674 8569 9608 9199 5174 5844 9269 5361 8413 9186 7824
 9321 6096 9387 6945 9613 6012 7302 5390 9595 5991 9369 6387 9575 5139
 6803 5802 7363 7103 7371 6868 9946 7880]",0.042999982833862305
7,../geological_similarity/schist/4U82N.jpg,"[6949 5568 7325 6459 7282 5468 5119 5142 6619 5745 6787 8209 9951 7877
 6616 7804 5534 8674 8569 5174 9608 9199 9269 9186 5361 5844 8413 7824
 6945 6096 9321 9387 6387 9595 9369 9613 6868 6012 5390 5802 7302 5991
 9575 9946 5139 7371 7363 6272 6430 6803]",0.03800225257873535
8,../geological_similarity/rhyolite/NGW1J.jpg,"[6949 5468 6459 5142 5568 7325 7282 5119 6619 5745 6787 8209 9951 6616
 7804 5534 7877 9608 8674 5174 5483 8569 9186 9199 9269 9048 5844 5361
 9321 8413 6387 9595 6945 5802 9387 6868 6096 7824 5139 7302 9369 9613
 6012 6430 6726 5390 9575 7363 7371 7083]",0.035004615783691406
9,../geological_similarity/schist/BNXPM.jpg,"[6949 5468 5568 7325 6459 7282 5119 5142 6619 5745 6787 8209 7877 9951
 6616 7804 5534 8674 8569 5174 9608 9199 9269 5844 5361 9186 8413 7824
 6096 9321 9387 6945 9613 6012 7302 9595 6387 5390 5991 5802 9369 5139
 9946 6803 9575 7103 7371 7363 6868 6726]",0.03399825096130371
10,../geological_similarity/rhyolite/CZIVC.jpg,"[5468 6949 6459 5568 7325 7282 5119 5142 6619 8209 5745 6787 7877 9951
 5534 6616 8674 7804 9608 8569 5844 9199 5174 5361 9269 6868 9186 7824
 9387 8413 6096 9321 9613 6945 9595 6726 7371 9369 6803 8722 7363 7103
 9575 5390 9946 7302 7880 5991 6012 8065]",0.041997671127319336
11,../geological_similarity/quartzite/UVK6S.jpg,"[6949 5568 7325 7282 6459 5119 5468 5142 6619 5745 6787 8209 9951 7877
 7804 6616 5534 8674 8569 5174 9199 9608 9269 5844 5361 8413 7824 9186
 6096 9321 9387 9613 6945 6387 5390 6012 7302 9595 5991 9369 5139 9575
 5802 7371 6803 7363 9946 7103 6272 7880]",0.04400014877319336
12,../geological_similarity/gneiss/AQWU7.jpg,"[6949 5468 7325 5568 6459 7282 5119 5142 6619 5745 6787 8209 7877 6616
 7804 9951 5534 8674 8569 9608 9269 9186 5361 9199 5174 8413 5844 6096
 7824 6012 6945 9321 9595 5390 9369 9387 6387 5991 5802 9613 6868 9946
 5139 7302 9575 7363 6803 7880 5838 7371]",0.04200029373168945
13,../geological_similarity/rhyolite/B39AI.jpg,"[6949 5568 7325 6459 7282 5119 5142 5468 6619 5745 6787 8209 9951 6616
 7804 7877 5534 8674 6868 8569 5174 9608 9199 9186 9269 5361 5844 8413
 9321 6945 7824 9387 6387 6096 9613 9369 9595 6012 5390 7371 7363 9575
 5139 5802 6430 5991 6272 7880 5483 7302]",0.03708529472351074
14,../geological_similarity/quartzite/DCHOS.jpg,"[6949 5568 7325 7282 6459 5119 5468 5142 6619 5745 6787 8209 9951 7877
 7804 6616 5534 8674 8569 5174 9199 9269 9608 5844 5361 8413 9186 7824
 6096 9321 9387 6945 6387 9613 5390 7302 6012 9595 5991 9369 5139 5802
 9575 6803 7363 7103 9946 7371 6272 7880]",0.03851461410522461
15,../geological_similarity/marble/3WBP6.jpg,"[5468 6949 6459 5119 5568 7325 7282 6787 8209 5142 5745 6619 6868 7877
 6616 9951 7804 8569 8674 5534 5361 9608 5174 5844 8413 9199 9269 9186
 6012 7824 9387 6096 6803 9321 7103 6726 8722 9613 5991 5257 7302 9946
 6183 5139 7371 5483 5390 9595 9575 7880]",0.035993099212646484
16,../geological_similarity/schist/4WITK.jpg,"[6949 5468 5568 7325 6459 7282 5119 5142 6619 5745 6787 8209 9951 6616
 7877 7804 5534 8674 5174 8569 9608 9199 9269 5844 6868 5361 5483 9186
 8413 9387 7824 9321 6096 5802 9613 7302 6387 6945 9595 5390 9946 7371
 6012 5139 5991 9575 7363 6803 9369 7103]",0.03600311279296875
17,../geological_similarity/schist/CM3SF.jpg,"[6949 6459 5568 7325 7282 5119 5468 5142 6619 5745 6787 8209 9951 6616
 7877 7804 5534 8674 8569 9608 5174 9199 9269 5844 5361 9186 8413 7824
 9387 6096 6012 9321 6387 7302 6945 5139 9595 5390 9613 5991 6803 6868
 9369 9946 7103 5802 9575 5257 7363 6272]",0.03700089454650879
18,../geological_similarity/andesite/CTYZM.jpg,"[6949 5568 7325 7282 5468 6459 5119 5142 6619 5745 6787 8209 9951 7877
 6616 7804 5534 8674 8569 9199 9608 5174 5844 9269 5361 8413 9186 7824
 9387 6096 9321 7302 6945 9595 9613 5390 5139 6012 9575 5991 6803 6387
 5802 9369 7363 7103 6868 9946 6726 7371]",0.0359950065612793
19,../geological_similarity/marble/94WJ8.jpg,"[5468 6949 6459 5119 5745 5568 7325 7282 6619 5142 8209 9048 6787 5483
 7877 6616 9608 9951 7804 5534 8674 8236 6868 5174 8284 9186 8569 8413
 5361 9199 9269 5844 9387 6726 9321 6012 9595 7824 6096 9613 9946 5802
 7511 7371 5139 5991 6945 7302 7363 5257]",0.03700137138366699
20,../geological_similarity/quartzite/5N0EW.jpg,"[6949 5568 7325 7282 6459 5468 5119 5142 6619 5745 6787 8209 9951 7877
 7804 6616 5534 8674 8569 5174 9199 9269 5844 9608 5361 7824 9186 8413
 6096 9321 9387 9613 7302 6945 6387 5390 9595 6012 5802 5991 5139 9369
 6803 9575 7103 9946 7363 7371 7880 6272]",0.03800010681152344
21,../geological_similarity/gneiss/SKDTL.jpg,"[6949 5568 7325 5468 6459 7282 5119 5142 6619 5745 6787 8209 9951 6616
 7877 7804 5534 8674 8569 9608 9199 5174 5844 9269 5361 6868 9186 8413
 7824 9387 9321 6096 9613 6945 9595 5390 6012 7302 9369 5139 9575 6387
 5991 7363 7371 5802 6803 9946 7880 7103]",0.038526058197021484
22,../geological_similarity/andesite/RETXJ.jpg,"[6949 5568 7325 6459 7282 5119 5468 5142 6619 5745 6787 8209 9951 7877
 6616 7804 5534 8674 8569 5174 9608 9199 9269 5844 5361 9186 8413 7824
 6096 9321 9387 6945 9595 6387 9613 5390 6012 7302 9369 5139 5991 5802
 9575 7363 9946 6803 7371 7103 6272 7880]",0.037001609802246094
